center_id,channel,enabled,self_service_rate,automation_level,agent_ai_usage,customer_ai_usage,knowledge_base_quality
SC-101,phone,True,0.1823,0.1631,0.3629,0.1783,0.6832
SC-101,web,True,0.4152,0.287,0.2493,0.3899,0.6545
SC-101,whatsapp,True,0.4434,0.3643,0.3278,0.4395,0.652
SC-101,email,True,0.3628,0.2557,0.2648,0.3678,0.7263
SC-101,forms,True,0.3505,0.3727,0.2779,0.4067,0.6811
SC-101,chat,True,0.4032,0.3305,0.3217,0.4624,0.6825
SC-102,phone,True,0.1177,0.1483,0.2312,0.1247,0.5279
SC-102,web,True,0.3027,0.22,0.3049,0.2897,0.6688
SC-102,whatsapp,True,0.3227,0.3271,0.1865,0.3356,0.5702
SC-102,email,True,0.4231,0.2868,0.2211,0.2929,0.5128
SC-102,forms,True,0.3268,0.2754,0.2056,0.2469,0.5784
SC-102,chat,True,0.2385,0.2303,0.2032,0.3294,0.6405
SC-103,phone,True,0.0901,0.1696,0.3111,0.1404,0.6057
SC-103,web,True,0.3845,0.3014,0.2161,0.3005,0.5023
SC-103,whatsapp,True,0.3251,0.3226,0.1093,0.2422,0.6128
SC-103,email,True,0.2596,0.1839,0.24,0.3512,0.5906
SC-103,forms,True,0.259,0.1973,0.2042,0.3407,0.5567
SC-103,chat,False,0.3597,0.2569,0.2673,0.1772,0.4862
SC-104,phone,True,0.0874,0.0837,0.1649,0.0991,0.4178
SC-104,web,True,0.2428,0.2562,0.1986,0.1593,0.4759
SC-104,whatsapp,True,0.1944,0.2172,0.2151,0.2448,0.4222
SC-104,email,True,0.2627,0.2293,0.2103,0.2013,0.44
SC-104,forms,True,0.3168,0.2343,0.1862,0.2796,0.4677
SC-104,chat,True,0.321,0.2667,0.2338,0.2213,0.424
SC-105,phone,True,0.1051,0.1979,0.4349,0.132,0.6295
SC-105,web,True,0.4456,0.3506,0.3686,0.3455,0.6631
SC-105,whatsapp,True,0.3606,0.3429,0.2403,0.3985,0.6624
SC-105,email,True,0.263,0.2183,0.2882,0.3153,0.6956
SC-105,forms,True,0.3569,0.3601,0.2991,0.3552,0.6467
SC-105,chat,False,0.2818,0.3051,0.2751,0.3463,0.5289
SC-106,phone,True,0.0653,0.1685,0.2527,0.2336,0.6271
SC-106,web,True,0.3655,0.244,0.2933,0.2911,0.6778
SC-106,whatsapp,True,0.4525,0.3103,0.3488,0.3174,0.7449
SC-106,email,True,0.3383,0.2675,0.2592,0.4732,0.6569
SC-106,forms,True,0.4235,0.4064,0.2332,0.3393,0.7677
SC-106,chat,True,0.3454,0.4148,0.3866,0.3206,0.6703
SC-107,phone,True,0.1148,0.1483,0.308,0.0982,0.5807
SC-107,web,True,0.3098,0.2558,0.2447,0.3259,0.6335
SC-107,whatsapp,True,0.323,0.3223,0.2945,0.3035,0.603
SC-107,email,True,0.3095,0.225,0.2649,0.4644,0.5636
SC-107,forms,True,0.3208,0.2918,0.2369,0.2038,0.6072
SC-107,chat,True,0.2965,0.2689,0.2847,0.2703,0.6321
SC-108,phone,True,0.1192,0.1439,0.1941,0.1272,0.5187
SC-108,web,True,0.2891,0.2158,0.2374,0.3279,0.6079
SC-108,whatsapp,True,0.2291,0.2727,0.2336,0.3802,0.5367
SC-108,email,True,0.2629,0.2649,0.172,0.2691,0.4799
SC-108,forms,True,0.2737,0.3133,0.2263,0.3458,0.484
SC-108,chat,True,0.2583,0.2623,0.3244,0.1545,0.4922
SC-109,phone,True,0.1132,0.0771,0.277,0.1569,0.4606
SC-109,web,True,0.3602,0.3072,0.1575,0.2452,0.4081
SC-109,whatsapp,True,0.2467,0.2958,0.1242,0.2558,0.3555
SC-109,email,True,0.3135,0.2495,0.2334,0.2729,0.5537
SC-109,forms,True,0.3128,0.1769,0.2202,0.2471,0.4644
SC-109,chat,True,0.3277,0.3255,0.2495,0.3232,0.5329
SC-110,phone,True,0.1746,0.1683,0.3602,0.202,0.6542
SC-110,web,True,0.5097,0.3079,0.2752,0.328,0.6922
SC-110,whatsapp,True,0.345,0.3567,0.2976,0.3967,0.7835
SC-110,email,True,0.3363,0.3649,0.3071,0.3304,0.7048
SC-110,forms,False,0.4038,0.3507,0.2356,0.2473,0.6438
SC-110,chat,True,0.2106,0.2939,0.338,0.3543,0.6364
SC-111,phone,True,0.1573,0.2107,0.2896,0.2425,0.6753
SC-111,web,True,0.422,0.2975,0.3477,0.3841,0.5747
SC-111,whatsapp,True,0.4093,0.291,0.388,0.3647,0.7112
SC-111,email,True,0.3479,0.2752,0.3468,0.3417,0.6189
SC-111,forms,True,0.4196,0.2866,0.3226,0.3669,0.7049
SC-111,chat,False,0.3496,0.3616,0.233,0.3001,0.7113
SC-112,phone,True,0.0891,0.1474,0.227,0.2343,0.5652
SC-112,web,True,0.2864,0.202,0.2514,0.3743,0.6457
SC-112,whatsapp,True,0.355,0.3101,0.2443,0.3641,0.4635
SC-112,email,True,0.2821,0.2338,0.3818,0.2553,0.6316
SC-112,forms,True,0.2994,0.2295,0.2512,0.3067,0.6496
SC-112,chat,True,0.324,0.2686,0.2945,0.3271,0.5226
SC-113,phone,True,0.1145,0.118,0.2745,0.1603,0.5168
SC-113,web,True,0.2649,0.3099,0.2509,0.2122,0.6277
SC-113,whatsapp,True,0.3282,0.2481,0.2861,0.2725,0.5697
SC-113,email,True,0.3436,0.2399,0.3054,0.2657,0.4916
SC-113,forms,False,0.3389,0.2663,0.2395,0.3033,0.5668
SC-113,chat,True,0.2525,0.2892,0.2914,0.2938,0.6969
SC-114,phone,True,0.0921,0.1304,0.1306,0.1526,0.4622
SC-114,web,True,0.2199,0.2322,0.3024,0.2318,0.3466
SC-114,whatsapp,True,0.1962,0.3488,0.1641,0.1842,0.452
SC-114,email,True,0.2053,0.1147,0.1686,0.1131,0.4618
SC-114,forms,True,0.2304,0.1967,0.3007,0.3534,0.5713
SC-114,chat,True,0.3057,0.2886,0.23,0.3361,0.4953
SC-115,phone,True,0.1307,0.1647,0.361,0.2029,0.6285
SC-115,web,True,0.384,0.3501,0.3115,0.3566,0.6799
SC-115,whatsapp,True,0.4411,0.2945,0.187,0.2863,0.5994
SC-115,email,True,0.4499,0.3081,0.2863,0.3142,0.7232
SC-115,forms,True,0.4054,0.2561,0.325,0.4501,0.6157
SC-115,chat,True,0.3689,0.2939,0.2398,0.4193,0.503
SC-116,phone,True,0.1292,0.2091,0.3277,0.2211,0.718
SC-116,web,True,0.326,0.3544,0.3282,0.301,0.6699
SC-116,whatsapp,True,0.329,0.3174,0.3094,0.3075,0.7509
SC-116,email,True,0.4369,0.3596,0.2625,0.3128,0.5645
SC-116,forms,True,0.3684,0.3509,0.2172,0.4415,0.7522
SC-116,chat,True,0.2942,0.3332,0.3888,0.3652,0.7435
SC-117,phone,True,0.1202,0.1683,0.3043,0.1103,0.5432
SC-117,web,True,0.3465,0.228,0.2093,0.3435,0.4638
SC-117,whatsapp,True,0.3696,0.2304,0.1924,0.264,0.4677
SC-117,email,True,0.35,0.308,0.3399,0.2666,0.6259
SC-117,forms,True,0.3881,0.2359,0.1775,0.2967,0.5172
SC-117,chat,True,0.3349,0.1827,0.2863,0.2718,0.5344
SC-118,phone,True,0.139,0.0861,0.2498,0.1241,0.5862
SC-118,web,True,0.3133,0.1537,0.2962,0.2668,0.5807
SC-118,whatsapp,True,0.3494,0.3419,0.3124,0.3681,0.5441
SC-118,email,True,0.3713,0.2681,0.3334,0.223,0.5165
SC-118,forms,True,0.3565,0.3582,0.2822,0.3545,0.6207
SC-118,chat,True,0.3146,0.3547,0.2271,0.3063,0.6009
SC-119,phone,True,0.0584,0.1513,0.2209,0.0324,0.4308
SC-119,web,True,0.2634,0.0664,0.1816,0.2568,0.4685
SC-119,whatsapp,True,0.3028,0.2068,0.0519,0.2326,0.4729
SC-119,email,True,0.1926,0.2458,0.1988,0.1516,0.5635
