center_id,ts_bucket,channel,offered,handled,abandoned,aht_sec,wait_sec,resolved_first_contact
SC-101,2026-06-30 00:00:00,phone,31.55,30.5,1.04,380.1,7.2,19.69
SC-101,2026-06-30 00:00:00,web,9.28,8.73,0.54,241.7,56.0,6.18
SC-101,2026-06-30 00:00:00,whatsapp,7.89,7.79,0.1,232.1,40.1,5.65
SC-101,2026-06-30 00:00:00,email,5.57,5.39,0.18,229.7,7.9,3.71
SC-101,2026-06-30 00:00:00,forms,3.71,3.61,0.1,230.1,49.1,2.49
SC-101,2026-06-30 00:00:00,chat,5.1,5.01,0.09,213.3,38.5,3.53
SC-101,2026-06-30 00:30:00,phone,29.81,29.42,0.38,349.4,2.3,17.67
SC-101,2026-06-30 00:30:00,web,8.77,8.52,0.25,206.5,48.5,6.22
SC-101,2026-06-30 00:30:00,whatsapp,7.45,7.14,0.31,213.3,5.5,5.15
SC-101,2026-06-30 00:30:00,email,5.26,5.09,0.17,245.4,2.0,3.64
SC-101,2026-06-30 00:30:00,forms,3.51,3.34,0.17,192.7,20.5,2.39
SC-101,2026-06-30 00:30:00,chat,4.82,4.51,0.31,217.0,37.6,3.12
SC-101,2026-06-30 01:00:00,phone,38.1,33.02,5.08,429.4,27.7,20.34
SC-101,2026-06-30 01:00:00,web,11.21,10.9,0.3,232.9,75.9,7.26
SC-101,2026-06-30 01:00:00,whatsapp,9.53,9.14,0.39,241.4,59.8,6.35
SC-101,2026-06-30 01:00:00,email,6.72,6.47,0.26,239.9,44.0,4.65
SC-101,2026-06-30 01:00:00,forms,4.48,4.28,0.21,187.4,76.0,3.05
SC-101,2026-06-30 01:00:00,chat,6.16,5.91,0.26,211.1,12.1,4.23
SC-101,2026-06-30 01:30:00,phone,37.83,34.92,2.91,427.9,13.7,21.41
SC-101,2026-06-30 01:30:00,web,11.13,10.62,0.5,214.9,56.6,7.49
SC-101,2026-06-30 01:30:00,whatsapp,9.46,9.11,0.35,218.7,8.9,6.48
SC-101,2026-06-30 01:30:00,email,6.68,6.34,0.33,176.2,41.3,4.7
SC-101,2026-06-30 01:30:00,forms,4.45,4.24,0.21,217.1,26.8,2.91
SC-101,2026-06-30 01:30:00,chat,6.12,5.95,0.17,239.0,46.9,4.25
SC-101,2026-06-30 02:00:00,phone,35.97,32.29,3.69,397.1,24.7,18.03
SC-101,2026-06-30 02:00:00,web,10.58,10.1,0.48,196.8,19.1,7.1
SC-101,2026-06-30 02:00:00,whatsapp,8.99,8.82,0.17,231.5,39.1,6.07
SC-101,2026-06-30 02:00:00,email,6.35,6.23,0.12,243.6,27.8,4.2
SC-101,2026-06-30 02:00:00,forms,4.23,4.05,0.18,257.2,27.5,2.93
SC-101,2026-06-30 02:00:00,chat,5.82,5.65,0.17,242.8,35.5,3.84
SC-101,2026-06-30 02:30:00,phone,40.89,34.16,6.72,408.9,38.0,21.25
SC-101,2026-06-30 02:30:00,web,12.03,11.37,0.66,189.5,4.8,8.44
SC-101,2026-06-30 02:30:00,whatsapp,10.22,10.01,0.21,208.8,68.2,7.53
SC-101,2026-06-30 02:30:00,email,7.22,6.94,0.28,247.4,48.6,5.26
SC-101,2026-06-30 02:30:00,forms,4.81,4.73,0.08,196.2,54.0,3.55
SC-101,2026-06-30 02:30:00,chat,6.61,6.29,0.33,245.8,80.0,4.3
SC-101,2026-06-30 03:00:00,phone,43.75,30.88,12.87,396.4,81.9,19.0
SC-101,2026-06-30 03:00:00,web,12.87,12.62,0.24,240.2,50.2,9.35
SC-101,2026-06-30 03:00:00,whatsapp,10.94,10.53,0.4,222.2,35.5,6.89
SC-101,2026-06-30 03:00:00,email,7.72,7.36,0.36,187.4,14.2,5.59
SC-101,2026-06-30 03:00:00,forms,5.15,5.1,0.04,253.8,68.9,3.84
SC-101,2026-06-30 03:00:00,chat,7.08,6.89,0.19,204.3,44.5,4.93
SC-101,2026-06-30 03:30:00,phone,35.06,33.39,1.67,405.7,10.0,21.5
SC-101,2026-06-30 03:30:00,web,10.31,9.9,0.41,206.8,50.7,7.36
SC-101,2026-06-30 03:30:00,whatsapp,8.77,8.46,0.31,202.2,39.9,6.12
SC-101,2026-06-30 03:30:00,email,6.19,5.98,0.21,196.0,45.7,4.26
SC-101,2026-06-30 03:30:00,forms,4.12,3.96,0.16,213.8,50.5,2.61
SC-101,2026-06-30 03:30:00,chat,5.67,5.42,0.25,217.5,21.1,3.76
SC-101,2026-06-30 04:00:00,phone,35.2,33.65,1.55,441.3,9.6,20.46
SC-101,2026-06-30 04:00:00,web,10.35,10.06,0.29,214.6,21.2,7.45
SC-101,2026-06-30 04:00:00,whatsapp,8.8,8.55,0.25,213.6,22.6,6.12
SC-101,2026-06-30 04:00:00,email,6.21,5.95,0.27,237.6,32.0,4.08
SC-101,2026-06-30 04:00:00,forms,4.14,4.01,0.13,254.3,67.0,2.97
SC-101,2026-06-30 04:00:00,chat,5.69,5.47,0.22,272.9,68.2,3.94
SC-101,2026-06-30 04:30:00,phone,37.93,36.71,1.22,430.1,8.0,22.9
SC-101,2026-06-30 04:30:00,web,11.15,10.37,0.79,172.5,68.1,7.23
SC-101,2026-06-30 04:30:00,whatsapp,9.48,9.08,0.4,214.3,28.2,6.45
SC-101,2026-06-30 04:30:00,email,6.69,6.49,0.2,244.5,71.9,4.53
SC-101,2026-06-30 04:30:00,forms,4.46,4.25,0.22,242.4,65.2,3.17
SC-101,2026-06-30 04:30:00,chat,6.14,5.97,0.16,222.8,23.3,4.35
SC-101,2026-06-30 05:00:00,phone,37.91,36.1,1.81,369.1,10.3,22.7
SC-101,2026-06-30 05:00:00,web,11.15,11.14,0.01,213.0,41.3,7.87
SC-101,2026-06-30 05:00:00,whatsapp,9.48,9.29,0.19,220.7,38.4,6.54
SC-101,2026-06-30 05:00:00,email,6.69,6.41,0.29,231.1,41.3,4.57
SC-101,2026-06-30 05:00:00,forms,4.46,4.4,0.06,229.2,19.0,3.22
SC-101,2026-06-30 05:00:00,chat,6.13,5.95,0.19,264.9,63.8,4.15
SC-101,2026-06-30 05:30:00,phone,40.75,40.3,0.45,445.4,2.1,25.0
SC-101,2026-06-30 05:30:00,web,11.99,11.36,0.62,211.9,38.4,7.5
SC-101,2026-06-30 05:30:00,whatsapp,10.19,9.83,0.36,233.5,49.1,6.72
SC-101,2026-06-30 05:30:00,email,7.19,6.98,0.21,260.0,42.9,4.5
SC-101,2026-06-30 05:30:00,forms,4.79,4.7,0.09,203.0,54.5,3.53
SC-101,2026-06-30 05:30:00,chat,6.59,6.45,0.14,235.8,32.8,4.84
SC-101,2026-06-30 06:00:00,phone,59.8,54.28,5.52,404.7,15.3,35.79
SC-101,2026-06-30 06:00:00,web,17.59,16.73,0.86,213.7,26.3,11.71
SC-101,2026-06-30 06:00:00,whatsapp,14.95,14.06,0.89,182.9,36.3,10.17
SC-101,2026-06-30 06:00:00,email,10.55,10.15,0.41,220.4,40.6,7.47
SC-101,2026-06-30 06:00:00,forms,7.04,6.77,0.26,255.0,65.2,4.96
SC-101,2026-06-30 06:00:00,chat,9.67,9.42,0.26,247.4,8.4,6.28
SC-101,2026-06-30 06:30:00,phone,80.53,26.92,53.61,411.8,242.6,15.85
SC-101,2026-06-30 06:30:00,web,23.69,22.99,0.7,217.5,65.3,16.95
SC-101,2026-06-30 06:30:00,whatsapp,20.13,19.41,0.72,224.2,36.8,14.04
SC-101,2026-06-30 06:30:00,email,14.21,13.93,0.29,242.0,61.7,10.28
SC-101,2026-06-30 06:30:00,forms,9.47,9.31,0.17,192.5,50.8,7.03
SC-101,2026-06-30 06:30:00,chat,13.03,12.55,0.47,244.5,71.0,8.42
SC-101,2026-06-30 07:00:00,phone,94.46,84.26,10.2,406.0,19.9,47.73
SC-101,2026-06-30 07:00:00,web,27.78,26.3,1.48,195.7,50.3,17.97
SC-101,2026-06-30 07:00:00,whatsapp,23.61,22.01,1.6,284.4,49.5,15.8
SC-101,2026-06-30 07:00:00,email,16.67,16.33,0.33,229.3,54.3,10.91
SC-101,2026-06-30 07:00:00,forms,11.11,10.67,0.45,197.4,50.8,7.22
SC-101,2026-06-30 07:00:00,chat,15.28,15.03,0.25,225.4,48.2,10.81
SC-101,2026-06-30 07:30:00,phone,105.4,103.25,2.15,400.0,4.4,64.78
SC-101,2026-06-30 07:30:00,web,31.0,30.42,0.58,191.8,30.2,20.64
SC-101,2026-06-30 07:30:00,whatsapp,26.35,25.28,1.07,200.5,58.7,17.4
SC-101,2026-06-30 07:30:00,email,18.6,17.67,0.93,271.4,25.1,12.72
SC-101,2026-06-30 07:30:00,forms,12.4,12.05,0.35,276.9,73.9,8.33
SC-101,2026-06-30 07:30:00,chat,17.05,16.06,0.99,234.6,19.0,11.68
SC-101,2026-06-30 08:00:00,phone,109.53,109.21,0.32,411.2,0.5,68.82
SC-101,2026-06-30 08:00:00,web,32.22,30.97,1.25,224.5,31.4,23.57
SC-101,2026-06-30 08:00:00,whatsapp,27.38,26.7,0.69,223.2,62.9,18.15
SC-101,2026-06-30 08:00:00,email,19.33,18.39,0.94,244.1,9.8,11.99
SC-101,2026-06-30 08:00:00,forms,12.89,12.43,0.46,210.3,20.1,9.07
SC-101,2026-06-30 08:00:00,chat,17.72,17.25,0.47,236.2,9.4,11.64
SC-101,2026-06-30 08:30:00,phone,180.25,5.23,175.02,483.2,533.0,3.31
SC-101,2026-06-30 08:30:00,web,53.02,51.99,1.02,241.2,10.8,36.47
SC-101,2026-06-30 08:30:00,whatsapp,45.06,43.97,1.09,268.6,59.5,31.37
SC-101,2026-06-30 08:30:00,email,31.81,31.25,0.56,212.0,53.7,22.28
SC-101,2026-06-30 08:30:00,forms,21.21,20.93,0.27,223.9,58.8,14.71
SC-101,2026-06-30 08:30:00,chat,29.16,29.16,0.0,211.6,41.1,20.56
SC-101,2026-06-30 09:00:00,phone,218.65,162.7,55.95,410.8,60.1,101.11
SC-101,2026-06-30 09:00:00,web,64.31,61.8,2.51,240.8,46.1,45.19
SC-101,2026-06-30 09:00:00,whatsapp,54.66,53.67,0.99,221.3,59.4,37.43
SC-101,2026-06-30 09:00:00,email,38.59,36.85,1.74,186.8,36.3,27.01
SC-101,2026-06-30 09:00:00,forms,25.72,24.11,1.61,237.5,79.5,17.68
SC-101,2026-06-30 09:00:00,chat,35.37,34.85,0.52,218.8,54.2,24.78
