center_id,ts_bucket,agents_scheduled,agents_logged_in,shrinkage_pct,sla_target_sec
SC-101,2026-06-30 00:00:00,24.28,18.01,25.8,60.0
SC-101,2026-06-30 00:30:00,25.17,18.8,25.3,60.0
SC-101,2026-06-30 01:00:00,28.62,19.61,31.48,60.0
SC-101,2026-06-30 01:30:00,26.3,20.68,21.38,60.0
SC-101,2026-06-30 02:00:00,23.38,17.94,23.25,60.0
SC-101,2026-06-30 02:30:00,26.76,19.25,28.04,60.0
SC-101,2026-06-30 03:00:00,27.06,18.71,30.85,60.0
SC-101,2026-06-30 03:30:00,26.85,19.78,26.33,60.0
SC-101,2026-06-30 04:00:00,27.5,20.78,24.45,60.0
SC-101,2026-06-30 04:30:00,30.4,21.44,29.46,60.0
SC-101,2026-06-30 05:00:00,25.25,19.36,23.34,60.0
SC-101,2026-06-30 05:30:00,35.03,25.63,26.85,60.0
SC-101,2026-06-30 06:00:00,38.94,28.12,27.79,60.0
SC-101,2026-06-30 06:30:00,43.87,30.43,30.63,60.0
SC-101,2026-06-30 07:00:00,58.87,40.72,30.82,60.0
SC-101,2026-06-30 07:30:00,61.55,49.47,19.64,60.0
SC-101,2026-06-30 08:00:00,91.74,58.49,36.24,60.0
SC-101,2026-06-30 08:30:00,94.17,72.13,23.41,60.0
SC-101,2026-06-30 09:00:00,117.93,82.9,29.7,60.0
SC-101,2026-06-30 09:30:00,116.46,87.47,24.89,60.0
SC-101,2026-06-30 10:00:00,150.24,102.43,31.82,60.0
SC-101,2026-06-30 10:30:00,140.94,102.94,26.96,60.0
SC-101,2026-06-30 11:00:00,176.28,117.18,33.53,60.0
SC-101,2026-06-30 11:30:00,164.54,115.6,29.74,60.0
SC-101,2026-06-30 12:00:00,136.82,103.62,24.26,60.0
SC-101,2026-06-30 12:30:00,146.12,103.09,29.45,60.0
SC-101,2026-06-30 13:00:00,151.55,102.81,32.16,60.0
SC-101,2026-06-30 13:30:00,107.06,79.77,25.49,60.0
SC-101,2026-06-30 14:00:00,128.05,86.05,32.8,60.0
SC-101,2026-06-30 14:30:00,127.5,95.12,25.4,60.0
SC-101,2026-06-30 15:00:00,122.05,84.89,30.44,60.0
SC-101,2026-06-30 15:30:00,103.24,73.86,28.46,60.0
SC-101,2026-06-30 16:00:00,90.11,67.4,25.21,60.0
SC-101,2026-06-30 16:30:00,96.92,70.5,27.25,60.0
SC-101,2026-06-30 17:00:00,83.4,61.63,26.1,60.0
SC-101,2026-06-30 17:30:00,82.65,54.06,34.59,60.0
SC-101,2026-06-30 18:00:00,63.35,48.17,23.96,60.0
SC-101,2026-06-30 18:30:00,57.26,39.04,31.82,60.0
SC-101,2026-06-30 19:00:00,50.27,33.16,34.04,60.0
SC-101,2026-06-30 19:30:00,40.19,30.11,25.08,60.0
SC-101,2026-06-30 20:00:00,43.45,31.07,28.5,60.0
SC-101,2026-06-30 20:30:00,35.67,24.33,31.8,60.0
SC-101,2026-06-30 21:00:00,36.66,25.72,29.85,60.0
SC-101,2026-06-30 21:30:00,25.96,20.06,22.71,60.0
SC-101,2026-06-30 22:00:00,25.89,18.7,27.76,60.0
SC-101,2026-06-30 22:30:00,30.36,22.74,25.08,60.0
SC-101,2026-06-30 23:00:00,26.21,19.54,25.44,60.0
SC-101,2026-06-30 23:30:00,27.95,19.4,30.56,60.0
SC-101,2026-07-01 00:00:00,25.78,18.36,28.77,60.0
SC-101,2026-07-01 00:30:00,23.03,18.0,21.85,60.0
SC-101,2026-07-01 01:00:00,23.21,17.65,23.96,60.0
SC-101,2026-07-01 01:30:00,23.94,16.91,29.35,60.0
SC-101,2026-07-01 02:00:00,26.56,18.58,30.05,60.0
SC-101,2026-07-01 02:30:00,23.87,17.73,25.74,60.0
SC-101,2026-07-01 03:00:00,23.7,17.23,27.3,60.0
SC-101,2026-07-01 03:30:00,22.85,17.31,24.21,60.0
SC-101,2026-07-01 04:00:00,29.75,19.7,33.78,60.0
SC-101,2026-07-01 04:30:00,27.46,19.41,29.3,60.0
SC-101,2026-07-01 05:00:00,25.33,18.62,26.49,60.0
SC-101,2026-07-01 05:30:00,29.06,21.42,26.3,60.0
SC-101,2026-07-01 06:00:00,36.41,26.02,28.54,60.0
SC-101,2026-07-01 06:30:00,36.13,25.92,28.25,60.0
SC-101,2026-07-01 07:00:00,43.57,31.76,27.11,60.0
SC-101,2026-07-01 07:30:00,67.73,49.15,27.43,60.0
SC-101,2026-07-01 08:00:00,72.11,50.74,29.63,60.0
SC-101,2026-07-01 08:30:00,94.45,62.83,33.47,60.0
SC-101,2026-07-01 09:00:00,93.52,65.6,29.85,60.0
SC-101,2026-07-01 09:30:00,124.34,93.43,24.87,60.0
SC-101,2026-07-01 10:00:00,123.73,93.37,24.54,60.0
SC-101,2026-07-01 10:30:00,143.06,102.78,28.15,60.0
SC-101,2026-07-01 11:00:00,164.9,118.11,28.38,60.0
SC-101,2026-07-01 11:30:00,151.01,109.86,27.25,60.0
SC-101,2026-07-01 12:00:00,149.57,108.64,27.37,60.0
SC-101,2026-07-01 12:30:00,124.13,89.96,27.52,60.0
SC-101,2026-07-01 13:00:00,123.33,86.38,29.96,60.0
SC-101,2026-07-01 13:30:00,117.13,88.75,24.23,60.0
SC-101,2026-07-01 14:00:00,104.86,77.36,26.23,60.0
SC-101,2026-07-01 14:30:00,104.98,76.21,27.4,60.0
SC-101,2026-07-01 15:00:00,120.25,76.26,36.59,60.0
SC-101,2026-07-01 15:30:00,104.27,70.33,32.55,60.0
SC-101,2026-07-01 16:00:00,94.07,62.39,33.68,60.0
SC-101,2026-07-01 16:30:00,81.75,58.69,28.21,60.0
SC-101,2026-07-01 17:00:00,73.37,50.75,30.84,60.0
SC-101,2026-07-01 17:30:00,70.64,47.3,33.04,60.0
SC-101,2026-07-01 18:00:00,55.36,42.63,22.99,60.0
SC-101,2026-07-01 18:30:00,58.0,42.09,27.42,60.0
SC-101,2026-07-01 19:00:00,47.18,33.3,29.42,60.0
SC-101,2026-07-01 19:30:00,42.23,30.18,28.53,60.0
SC-101,2026-07-01 20:00:00,38.34,25.23,34.19,60.0
SC-101,2026-07-01 20:30:00,38.7,23.97,38.07,60.0
SC-101,2026-07-01 21:00:00,27.37,20.72,24.28,60.0
SC-101,2026-07-01 21:30:00,28.27,20.6,27.13,60.0
SC-101,2026-07-01 22:00:00,28.43,19.23,32.36,60.0
SC-101,2026-07-01 22:30:00,24.66,18.23,26.1,60.0
SC-101,2026-07-01 23:00:00,23.19,17.57,24.25,60.0
SC-101,2026-07-01 23:30:00,23.32,18.12,22.28,60.0
SC-101,2026-07-02 00:00:00,25.09,18.13,27.74,60.0
SC-101,2026-07-02 00:30:00,26.84,17.73,33.95,60.0
SC-101,2026-07-02 01:00:00,22.11,16.95,23.32,60.0
SC-101,2026-07-02 01:30:00,24.67,17.01,31.06,60.0
SC-101,2026-07-02 02:00:00,25.7,17.38,32.39,60.0
SC-101,2026-07-02 02:30:00,24.87,16.87,32.16,60.0
SC-101,2026-07-02 03:00:00,23.03,17.12,25.64,60.0
SC-101,2026-07-02 03:30:00,24.74,17.74,28.28,60.0
SC-101,2026-07-02 04:00:00,22.28,16.21,27.24,60.0
SC-101,2026-07-02 04:30:00,26.11,19.11,26.83,60.0
SC-101,2026-07-02 05:00:00,25.9,18.63,28.08,60.0
SC-101,2026-07-02 05:30:00,29.84,21.09,29.34,60.0
SC-101,2026-07-02 06:00:00,38.21,26.78,29.92,60.0
SC-101,2026-07-02 06:30:00,40.22,29.53,26.58,60.0
SC-101,2026-07-02 07:00:00,47.9,34.79,27.37,60.0
SC-101,2026-07-02 07:30:00,62.64,46.28,26.12,60.0
SC-101,2026-07-02 08:00:00,78.31,56.26,28.15,60.0
SC-101,2026-07-02 08:30:00,81.77,57.71,29.42,60.0
SC-101,2026-07-02 09:00:00,88.34,68.9,22.0,60.0
SC-101,2026-07-02 09:30:00,110.98,77.73,29.95,60.0
SC-101,2026-07-02 10:00:00,142.06,95.54,32.75,60.0
SC-101,2026-07-02 10:30:00,151.0,107.51,28.8,60.0
SC-101,2026-07-02 11:00:00,145.67,96.38,33.83,60.0
SC-101,2026-07-02 11:30:00,144.09,95.79,33.52,60.0
SC-101,2026-07-02 12:00:00,124.77,95.34,23.59,60.0
SC-101,2026-07-02 12:30:00,129.91,95.82,26.24,60.0
SC-101,2026-07-02 13:00:00,122.69,85.76,30.1,60.0
SC-101,2026-07-02 13:30:00,117.4,86.92,25.96,60.0
SC-101,2026-07-02 14:00:00,98.39,72.34,26.47,60.0
SC-101,2026-07-02 14:30:00,89.7,67.39,24.87,60.0
SC-101,2026-07-02 15:00:00,87.72,66.45,24.25,60.0
SC-101,2026-07-02 15:30:00,93.88,70.6,24.79,60.0
SC-101,2026-07-02 16:00:00,102.98,68.41,33.57,60.0
SC-101,2026-07-02 16:30:00,71.64,52.66,26.49,60.0
SC-101,2026-07-02 17:00:00,66.88,49.63,25.79,60.0
SC-101,2026-07-02 17:30:00,71.4,50.13,29.8,60.0
SC-101,2026-07-02 18:00:00,56.08,44.44,20.75,60.0
SC-101,2026-07-02 18:30:00,52.83,37.22,29.54,60.0
SC-101,2026-07-02 19:00:00,40.25,30.38,24.53,60.0
SC-101,2026-07-02 19:30:00,41.58,29.52,29.02,60.0
SC-101,2026-07-02 20:00:00,37.5,28.24,24.69,60.0
SC-101,2026-07-02 20:30:00,32.99,22.22,32.66,60.0
SC-101,2026-07-02 21:00:00,31.21,22.19,28.9,60.0
SC-101,2026-07-02 21:30:00,28.43,19.52,31.34,60.0
SC-101,2026-07-02 22:00:00,28.27,19.44,31.24,60.0
SC-101,2026-07-02 22:30:00,26.15,17.03,34.85,60.0
SC-101,2026-07-02 23:00:00,23.12,16.78,27.4,60.0
SC-101,2026-07-02 23:30:00,23.63,16.79,28.93,60.0
SC-101,2026-07-03 00:00:00,12.38,9.59,22.54,60.0
SC-101,2026-07-03 00:30:00,12.49,9.65,22.72,60.0
SC-101,2026-07-03 01:00:00,12.91,9.54,26.11,60.0
SC-101,2026-07-03 01:30:00,13.14,9.4,28.48,60.0
SC-101,2026-07-03 02:00:00,11.73,8.95,23.69,60.0
SC-101,2026-07-03 02:30:00,12.37,8.84,28.56,60.0
SC-101,2026-07-03 03:00:00,13.55,9.45,30.21,60.0
SC-101,2026-07-03 03:30:00,12.86,9.17,28.7,60.0
SC-101,2026-07-03 04:00:00,14.44,9.47,34.38,60.0
SC-101,2026-07-03 04:30:00,12.67,9.43,25.54,60.0
SC-101,2026-07-03 05:00:00,14.12,9.72,31.16,60.0
SC-101,2026-07-03 05:30:00,16.88,11.05,34.55,60.0
SC-101,2026-07-03 06:00:00,18.02,12.23,32.15,60.0
SC-101,2026-07-03 06:30:00,17.52,13.41,23.41,60.0
SC-101,2026-07-03 07:00:00,23.83,17.5,26.57,60.0
SC-101,2026-07-03 07:30:00,26.62,19.38,27.2,60.0
